Domain,Job ID,Job,work steam,Purpose,Key Responsibilities,Key Deliverables,Outcomes & KPIs,Competency 1,Competency 2,Competency 3,Competency 4,Competency 5,Competency 6,Competency 7,Competency 8,Competency 9,Competency 10,Competency 11,Competency 12
Network Mobility,45283874,Data Engineer Network Analytics,Analytics & Automation,"This role is pivotal in driving innovation and improvement within the product development lifecycle. By spearheading the conceptualization of new features and enhancements, conducting data analysis for compatibility and exception handling, analysing integration requirements with internal/external data sources and APIs, and leading activities such as requirement gathering, impact analysis, solution and workflow designing, this position plays a central role in shaping the product roadmap and ensuring alignment with customer needs and market trends.","1.	Use relational databases and write complex queries to perform database operations.
2.	Gather business requirements and translate them into SQL stored procedures for database operations.
3.	Analyze big data using Hive SQL, Spark technologies.
4.	Utilize BI platforms to turn data into meaningful information in the form of interactive visualizations, dashboards with data stories, graphical representations, insights and KPIs to enable management to review business propositions
5.	Participate in cross-functional discussions pertaining to data transformation / cleaning, data processes, data mappings, and data modelling.","1.	Generation of innovative ideas and conceptualization of new features and enhancements to meet customer needs and market demands.
2.	Conducting data analysis to ensure compatibility and effective exception handling, enhancing the reliability and performance of the product.
3.	Analysis of integration requirements with internal/external data sources and APIs, facilitating seamless integration and interoperability.
4.	Leading requirement gathering, impact analysis, and solution design activities, ensuring alignment with business objectives and technical feasibility.
5.	Regular interaction with product, big data, and domain SMEs to gather insights, validate requirements, and foster collaboration.","1.	Measures the percentage of generated ideas successfully converted into implemented features or enhancements.
2.	Evaluates the accuracy and effectiveness of data analysis processes in identifying compatibility issues and handling exceptions.
3.	Tracks the percentage of successful integrations with internal/external data sources and APIs, indicating the effectiveness of integration efforts.
4.	Assesses stakeholder satisfaction with the alignment of delivered solutions with gathered requirements.
5.	Measures the frequency and depth of interaction with product, big data, and domain SMEs, ensuring adequate collaboration and knowledge sharing.",App Visualization,Automation Tools & Frameworks,Dashboard Development,Data Engineering & Analytics,Distributed Data Processing,PySpark Development,Python Development,Scala Development,,,,
Network Mobility,45283873,Manager Network Automation and Analytics,Analytics & Automation,"The Manager Network Automation and Analytics role is a combination of technical expertise in network automation and data analysis skills. This role is pivotal in driving innovation and improvement within the product development lifecycle. By spearheading the conceptualization of new features and enhancements, conducting data analysis for compatibility and exception handling, analysing integration requirements with internal/external data sources and APIs, and leading activities such as requirement gathering, impact analysis, solution and workflow designing, this position plays a central role in shaping the product roadmap and ensuring alignment with customer needs and market trends. ","1.	Lead a team of data analysts or work independently to conduct data analysis projects. 
2.	Collect and analyze network performance data to identify bottlenecks, potential issues, and opportunities for optimization. 
3.	Develop ideas and conceptualize new features & enhancement
4.	Perform advanced statistical analysis, machine learning, or other data science techniques to extract insights from data.
5.	Work on data analysis for compatibility and exception handling
6.	Analyze the integration requirements with internal / external data sources and APIs
7.	Work on requirement gathering, impact analysis, solution & workflow designing
8.	Interact regularly with product, big data and domain SMEs
9.	Provide support for various issues during solution lifecycle
10.	Maintain strong connect with last mile / field teams to understand key requirements and challenges, whilst translating them to product development team
11.	Work on delivery and evolution management of new feature /enhancement.
12.	Lead a team of network engineers and analysts.
13.	Develop and implement network automation and analytics strategies.
14.	Effectively communicate complex data analysis findings to both technical and non-technical audiences.","1.	Generation of innovative ideas and conceptualization of new features and enhancements to meet customer needs and market demands.
2.	Conducting data analysis to ensure compatibility and effective exception handling, enhancing the reliability and performance of the product.
3.	Analysis of integration requirements with internal/external data sources and APIs, facilitating seamless integration and interoperability.
4.	Leading requirement gathering, impact analysis, and solution design activities, ensuring alignment with business objectives and technical feasibility.
5.	Regular interaction with product, big data, and domain SMEs to gather insights, validate requirements, and foster collaboration.
6.	Continuously evaluate and improve network automation and analytics processes to adapt to evolving network requirements and leverage new technologies.","1.	Measures the percentage of generated ideas successfully converted into implemented features or enhancements.
2.	Evaluates the accuracy and effectiveness of data analysis processes in identifying compatibility issues and handling exceptions.
3.	Tracks the percentage of successful integrations with internal/external data sources and APIs, indicating the effectiveness of integration efforts.
4.	Assesses stakeholder satisfaction with the alignment of delivered solutions with gathered requirements.
5.	Measures the frequency and depth of interaction with product, big data, and domain SMEs, ensuring adequate collaboration and knowledge sharing.",Advanced Analytics Modeling,Analytical Dashboard Creation,App Visualization,Automation Scripting and System Integration,Automation Tools & Frameworks,Business value realization,Data Engineering & Analytics,,,,,
Network Mobility,24281398,Manager Workflow Automation,Analytics & Automation,"Design service-based workflow models and link them with customer experience outcomes, establishing objective connections between systems of interaction and field organization. Contribute to data analytics initiatives for capturing and processing network data. Innovate by creating digital features and defining SOPs for last-mile network teams, enabling new features through real-time network and customer analytics.","1.	Design service-based workflow models
2.	Link workflow models with customer experience outcomes
3.	Create objective linkages between system of interaction and field organization
4.	Participate in data analytics initiatives for capturing and processing all network data
5.	Create new digital features and define SOPs for last mile network teams
6.	Development of automated data-driven analysis and action flows
7.	Enable new features with real time network and customer analytics","1.	Domain support on new strategic initiatives, assimilation of assigned attributes, data compilation and validation
2.	Development of customer experience specific dashboard and integration with usage, SR, device data streams
3.	Solution support for new enterprise customer acquisition
4.	Data driven performance management for field team","1.	Conceptualization, UI prototype, key attribute identification
2.	Development and Structuring of customer experience dashboards
3.	Support bid meetings and respond to RFI/RFQ
4.	Development and evolution of systems of interaction, launch of new features and use cases.
5.	Field team empowerment with data driven analysis and actions",Automation Scripting and System Integration,Automation Security,Automation Tools & Frameworks,Data Engineering & Analytics,Emerging Technology Utilization,Workflow Process Mapping,Workflow Tool Integration,,,,,
Network Mobility,45283852,Hardware Deployment Manager,Core Network Build,"The job purpose entails overseeing the efficient management of hardware deployment projects by developing comprehensive work plans, managing deadlines, and ensuring hardware readiness for installation. This involves creating Method of Procedures (MoPs) and Standard Operating Procedures (SoPs) for server installation activities, monitoring project progress, and collaborating with cross-functional teams to identify areas for improvement.","1.	Develop work plans and manage deadlines 
2.	Manage hardware and deployment team for hardware readiness 
3.	Create MoPs and SoPs for various server installation activities
4.	Monitor the progress of the project activity
5.	Work closely with cross functional teams to identify areas which need improvement 
6.	Prepare and maintain the projects plans, project schedule and develop project documents 
7.	Follow up for purchase orders release and material delivery
8.	Handle critical customer escalation and provide timely resolution of queries 
9.	Monitor and control corrective action taken for non-conformance at site
10.	Prepare substantial completion certificates 
11.	Ensure all required project close out documents are obtained.
12.	Track the project completion starting from material delivery to acceptance testing.","1.	Comprehensive work plans, deadlines managed.
2.	Hardware readiness for deployment
3.	Method of Procedures (MoPs), Standard Operating Procedures (SoPs) for server installation.
4.	Progress monitoring reports.
5.	Improvement suggestions and action plans.
6.	Project plans, schedules, and documentation.
7.	Timely monitoring and tracking of project milestones, ensuring alignment with project schedules and objectives.
8.	Facilitation of issue and risk mitigation strategies, including timely escalation and resolution of project-related issues.","1.	Adherence to project timelines, completion of milestones as per schedule.
2.	Timely completion of hardware preparation tasks, deployment team efficiency.
3.	Accuracy and completeness of MoPs and SoPs, adherence to procedures during installation.
4.	Progress against project milestones, identification of project delays.
5.	Implementation of improvement initiatives, impact on project efficiency.
6.	Ensuring complete inventory management of all HW installation done. ",Deployment Optimization,Core Network Build - Regulatory Compliance,Core Network Build - Risk Management,Hardware Installation Expertise,Process Standardization,,,,,,,
Network Mobility,45283851,Lead Core System Deployment & Proj Cntrl,Core Network Build,"The job purpose revolves around orchestrating the seamless deployment, integration, and management of both hardware and software systems to bolster and expand the core network infrastructure. This includes overseeing the deployment and integration of hardware components, managing project activities for core network expansion, and ensuring the smooth commissioning and integration of software systems.","1.	Work on hardware deployment and integration, 
2.	Handle project management and core network system expansion 
3.	Manage the software system commissioning and integration 
4.	Ensure service integration and rollout
5.	Manage the entire inventory lifecycle
6.	Follow up with circle teams for consumption of delivered material
7.	Manage project governance with cross functional teams and external solution partners
8.	Drive steering committee meetings and program review meetings
9.	Look after escalation management, risk management and vendor delivery management
10.	Define customer scope and scope for third party partners.","1.	Completed hardware deployment plan, integrated hardware components.
2.	Project management plan, expanded core network system.
3.	Commissioned software systems, integrated with core network
4.	Integrated services, successfully rolled out to end-users.
5.	Inventory management plan, optimized resource utilization","1.	Timeliness of deployment, successful integration without disruptions.
2.	Project timeline adherence, budget compliance, expansion effectiveness.
3.	Software integration timeline, system stability post-integration.
4.	Service rollout timeline, customer satisfaction post-implementation.
5.	Inventory turnover rate, inventory accuracy, cost savings.",Budgeting & Financial Planning,Core Network Architecture Implementation,Core System Installation & Configuration,Emerging Core Network Hardware  Technologies,Issue Resolution,Material Managment ,Network Element Integration,Regulatory & Security Adherence,System Performance Testing & Validation,,,
Network Mobility,45283859,Lead Wireless Core PMO,Core Network Build,"This role is focused on ensuring efficient project management and governance through meticulous tracking, coordination, and reporting. By compiling progress tracking reports on a weekly, monthly, and quarterly basis, coordinating vendor governance meetings and tracking action points, this position plays a crucial role in monitoring project progress and ensuring alignment with objectives. Additionally, the role is responsible for tracking core services /products rollouts, Core Services readiness, coordinating procurement activities, managing hardware commissioning, decommissioning, reallocation and handling program management and project control.","1.	Work on compilation of weekly / monthly / quarterly progress tracking reports 
2.	Coordinate vendor governance meetings and work on action point tracking
3.	Carry out procurement coordination and PR / PO release
4.	Track the core services / products rollout
5.	Track the Core Solutions /Services /Products/upgrades/updates positioning and its readiness programs.
6.	Track hardware Commissioning, decommissioning and reallocation tracking
7.	Handle program management and project control.","1.	Compilation of accurate and comprehensive weekly/monthly/quarterly progress tracking reports, highlighting key achievements, challenges, and action items.
2.	Coordination of vendor governance meetings, including scheduling, agenda preparation, and tracking action points to ensure timely resolution.
3.	Execution of procurement coordination activities, including purchase requisition (PR) and purchase order (PO) release, to support project requirements and timelines.
4.	Tracking of Core services /products rollouts, monitoring milestones, and ensuring alignment with project timelines and quality standards.
5.	Tracking of Core Services readiness and its alignment with capacity & its efficient utilization and compliance with organizational policies.
6.	Tracking & monitoring of Core Services growth trend & its utilization with respect to planned network capacity as well as publishing its reports internally.
7.	Tracking of hardware commissioning, decommissioning and reallocation activities, ensuring efficient resource utilization and compliance with organizational policies.","1.	Timeliness and Accuracy of Reports: Measures the timeliness and accuracy of weekly/monthly/quarterly progress tracking reports, indicating the effectiveness of monitoring and reporting processes.
2.	Action Point Closure Rate: Tracks the percentage of action points from vendor governance meetings closed within agreed-upon timelines, demonstrating effective follow-up and resolution.
3.	Procurement Cycle Time: Measures the cycle time for procurement activities, including PR/PO release, indicating efficiency in meeting project procurement requirements.
4.	Rollout Milestone Achievement: Evaluates the percentage of core services /products rollout milestones achieved within scheduled timeframes, indicating project progress and adherence to timelines.
5.	Services Readiness Achievement: Evaluates the percentage of core solution services /products readiness milestones achieved within scheduled timeframes, indicating project progress and adherence to timelines.
6.	Hardware Commissioning & Decommissioning Efficiency: Assesses the efficiency of hardware commissioning, decommissioning and reallocation processes in optimizing resource utilization and minimizing disruptions.",Budgeting & Financial Planning,Core Network Build - Risk Management,Core System Implementation,Core System Performance Optimization,Process Development & Standardization,Project Execution & Tracking,Project Scope Definition,Technical Documentation and Reporting,,,,
Network Mobility,45283856,Manager Project Control & Management,Core Network Build,"The purpose of this role is to oversee and manage infra allocation and management, project governance, ensuring effective collaboration between internal cross-functional teams and external solution partners/OEMs. By developing in-house competency in solution areas and ensuring the availability of necessary resources and skill sets, this position plays a critical role in driving project success. Additionally, the role is responsible for monitoring project milestones, facilitating issue and risk mitigation, managing inventory control, and tracking project completion from material delivery to acceptance testing of application nodes.","1.	Manage project governance for both internal cross functional teams and external solution partners / OEMs 
2.	Develop in-house competency on the solution areas 
3.	Ensure availability of required resources and skill-set
4.	Monitor and track project milestones 
5.	Facilitate the mitigation of issues and risks
6.	Manage overall Facility control.
7.	Efficient allocation of infra for projects based on requirement.
8.	Track the project completion starting from material delivery to acceptance testing of application nodes.","1.	Facilitation of Infra allocation, Management, feasibility check, maintaining Rack utilization.
2.	RFI readiness assessment reports.
3.	Determining infra requirement for Ongoing & future requirements and sharing with stakeholders for allocation.
4.	Establishment and maintenance of robust project governance frameworks for internal teams and external partners/OEMs.
5.	Development of in-house competency in solution areas through training programs, knowledge sharing, and skill development initiatives.
6.	Ensuring availability of required resources and skill sets by coordinating with HR, training departments, and external agencies as needed.
7.	Timely monitoring and tracking of project milestones, ensuring alignment with project schedules and objectives.
8.	Facilitation of issue and risk mitigation strategies, including timely escalation and resolution of project-related issues.","1.	Effective allocation of free U Space for expansion projects to ensure maximum utilization of available infra.
2.	To keep infra portal updated to ensure complete view of facility/floor/server hall wise utilization and availability.
3.	Project Governance Effectiveness: Assesses the efficiency and effectiveness of project governance frameworks in ensuring collaboration and alignment among internal and external stakeholders.
4.	Competency Development Progress: Measures the progress in developing in-house competency in solution areas through skill assessments, training participation rates, and knowledge transfer initiatives.
5.	Resource Availability and Utilization: Evaluates the availability and utilization of required resources and skill sets, ensuring optimal resource allocation and utilization.
6.	Issue and Risk Resolution Time: Measures the time taken to identify, escalate, and resolve project-related issues and risks, ensuring timely mitigation and minimal impact on project objectives.
7.	Inventory Management Efficiency: Evaluates the efficiency of inventory control processes in optimizing stock levels and minimizing shortages or excesses.",Process Standardization,Core Network Build - Quality Assurance,Core Network Build - Risk Management,Project Monitoring,,,,,,,,
Network Mobility,45283855,Material Management Engineer,Core Network Build,"The purpose of this role is to ensure smooth and efficient management of inventory across all circles, thereby supporting seamless operations and timely project execution. By overseeing the entire inventory lifecycle, tracking material dispatches, and collaborating closely with circle teams and SCM (Supply Chain Management) teams, this position plays a crucial role in maintaining optimal stock levels, facilitating material consumption, and ensuring accurate reconciliation.","1.	Manage the entire inventory lifecycle
2.	Follow up with circle teams for consumption of delivered material
3.	Maintain the tracker of the material dispatches and follow up with circle teams for closure 
4.	Monitor circles for deployment and material reconciliation
5.	Handle the inventory stock in SAP module to proactively intimate SMEs for procurement of required stock.
6.	Initiate and take up servers repacking activities with SCM team at various circles / sites.","1.	Timely management of the entire inventory lifecycle, including receipt, storage, and distribution of materials
2.	Regular follow-up with circle teams to ensure consumption of delivered material in accordance with project requirements.
3.	Maintenance of accurate trackers for material dispatches and closure, with documented follow-up actions
4.	Effective monitoring of circles for deployment and material reconciliation, ensuring alignment with project timelines.
5.	Proactive handling of inventory stock in SAP module, including timely intimation to Subject Matter Experts (SMEs) for procurement of required stock","1.	Inventory Turnover Ratio: Measures how efficiently inventory is being managed and utilized within a given period.
2.	Material Consumption Rate: Tracks the rate at which delivered materials are consumed by circle teams, indicating project progress and resource utilization
3.	Tracker Accuracy: Evaluates the accuracy and completeness of material dispatch trackers and closure documentation
4.	Deployment Timeliness: Assesses the adherence to project timelines by monitoring the deployment of materials across circles.
5.	Stock Availability: Measures the effectiveness of stock management in SAP module by evaluating the availability of required stock for ongoing projects.",Cost Optimization,Data Engineering & Analytics,Inventory Management,Logistics Coordination,Material Allocation,Material Forecasting,Process Standardization,,,,,
Network Mobility,45281194,Packet Core & 5G Service Lead,Data Core,Lead the vision and architecture for Jio's Packet Core network. Translate architecture into deployable plans and drive network configuration and updates. Transform legacy integration into automated frameworks and harmonize compute/storage specifications. Design cloud and MEC infrastructure and convert business asks into technical designs. Analyse business requirements and develop large-scale systems.,"1.	Set vision architecture of Jio Packet Core (4G, 5G, IoT, Private 5G, Enterprise) 
2.	Convert the vision architecture into deployable plan
3.	Carry out network functions / nodes configuration, software release, updates / upgrades and evolution roadmap
4.	Transform legacy integration into data driven, zero touch, automated, close looped framework
5.	Manage all compute and storage specification and harmonize various specifications
6.	Design and engineering of cloud and MEC infrastructure
7.	Convert business ask and service plan into technical design with end to end service LCM
8.	Analyze and respond to business requirements
9.	Design and develop large-scale systems.","1.	Plan ,Build adequate Core NW Capacity to meet growing HSI, IOT & Enterprise Traffic & customer base
2.	Modernization of EOL Core Network Assets supporting 150 Mn Subs NW Capacity with Latest Technology
3.	Packet Core , IoT & Enterprise Network Transformation to support new emerging service needs in all 22 circle
4.	Secured Network compliance - 100% compliance on P1 cases for packet core network
5.	Core Network Enablement for supporting New Services, Features & Solution for growing Business needs, improving customer experience","1.	Packet Core Network Capacity
2.	Service availability
3.	Transformation Milestone
4.	Timely compliance fulfillment
5.	Rollout Completion",Data Core - Core Network Security,5G Core Network Design,Capacity Planning - Packet core,Core Network Optimization,Packet Core Network Design,"Protocol Mastery (GTP, Diameter, HTTP/2)",Regulatory Compliance – Network & Software Systems,SBA (Service-Based Architecture),Service Orchestration,,,
Network Mobility,45281182,PaCo Compute StorageOS & Middleware SME,Data Core,"The job purpose entails spearheading the planning and engineering of a comprehensive infrastructure ecosystem encompassing servers, storage, networking, middleware, operating systems, and security. This includes evaluating emerging technologies and market trends to anticipate their potential impact on existing architecture and devising implementation plans accordingly. Providing strategic advice and decision-making on technology selection for various projects is crucial to ensure optimal outcomes.","1.	Plan engineering of the server, storage, networking, middleware, OS and security infrastructure
2.	Evaluate technology, market trends and industry
3.	Identify prospective impact on current architecture
4.	Develop implementation plan for infrastructure architecture
5.	Provide advice and make decisions about which technologies would be suitable to use for various projects
6.	Manage infrastructure firmware and Bios upgrade plans
7.	Handle compute virtualization using container, virtual machine etc
8.	Design solutions for infrastructure as a service and platform
9.	Help team to understand and implement modern, agile practices for Platform-as-a-Service (PaaS)
10.	Understand current technology and industry trends
11.	Assist with PoCs prior to implementation
12.	Work cross-functionally within to deliver best of the class solution","1.	Plan and design to make node reachability as per services requirement.
2.	Necessary physical connectivity, IP configuration and readiness completed.
3.	Necessary IP configuration and readiness.
4.	Timely delivery P2P, IP configuration.
5.	Time delivery of IPv4 Pool distribution plan, completed configuration at IP Nodes","1.	Need to ensure timely delivery of P2P, Infra IP, UE Pool along with E2E reachability for all packet core nodes.
2.	Need to migrate IOT Customers from ENT Core to CIOT Core.
3.	Need to make reachability with respective peer nodes and ensure service confirmation.
4.	Need to make configuration respective IP nodes and ensure services",Data Core - Performance Monitoring & Optimization,Automation Scripting and System Integration,Automation Tools & Frameworks,Cloud Platforms,Compliance & Auditing,Compute Platform Management,Middleware Operations,Monitoring Tools Expertise,Operating System Management,Storage Infrastructure Management,System Hardening,Virtualization Management
